"Abacinate","v. t.","To blind by a red-hot metal plate held before the eyes."
"Abacination","n.","The act of abacinating."
"Abandoning","p. pr. & vb. n.","of Abandon"
"Abandon","v. t.","To cast or drive out; to banish; to expel; to reject."
"Abandoned","a.","Self-abandoned, or given up to vice; extremely wicked, or sinning without restraint; irreclaimably wicked ; as, an abandoned villain."
"Abandonedly","adv.","Unrestrainedly."
"Abandonee","n.","One to whom anything is legally abandoned."
"Abandoner","n.","One who abandons."
"Abandonment","n.","The act of abandoning, or the state of being abandoned; total desertion; relinquishment."
"Abanga","n.","A West Indian palm; also the fruit of this palm, the seeds of which are used as a remedy for diseases of the chest."
"Abannation","n.","Alt. of Abannition"
"Abannition","n.","Banishment."
"Abarticulation","n.","Articulation, usually that kind of articulation which admits of free motion in the joint; diarthrosis."
"Abased","imp. & p. p.","of Abase"
"Abashed","imp. & p. p.","of Abash"
"Abashing","p. pr. & vb. n.","of Abash"
"Abash","v. t.","To destroy the self-possession of; to confuse or confound, as by exciting suddenly a consciousness of guilt, mistake, or inferiority; to put to shame; to disconcert; to discomfit."
"Abashedly","adv.","In an abashed manner."
"Abashment","n.","The state of being abashed; confusion from shame."
"Abassi","n.","Alt. of Abassis"
"Abassis","n.","A silver coin of Persia, worth about twenty cents."
"Abatable","a.","Capable of being abated; as, an abatable writ or nuisance."
"Abated","imp. & p. p.","of Abate"
"Abating","p. pr. & vb. n.","of Abate"
"Abate","v. t.","To beat down; to overthrow."
"Abbreviate","n.","An abridgment."
"Abbreviated","a.","Shortened; relatively short; abbreviate."
"Abdomen","n.","The posterior section of the body, behind the thorax, in insects, crustaceans, and other Arthropoda."
"Abdominal","a.","Of or pertaining to the abdomen; ventral; as, the abdominal regions, muscles, cavity."
"Abduct","v. t.","To draw away, as a limb or other part, from its ordinary position."
"Abduction","n.","The act of abducing or abducting; a drawing apart; a carrying away."
"Abhor","v. i.","To shrink back with horror, disgust, or dislike; to be contrary or averse; -- with"
"Abhorrence","n.","Extreme hatred or detestation; the feeling of utter dislike."
"Abhorrency","n.","Abhorrence."
"Abhorrent","a.","Abhorring; detesting; having or showing abhorrence; loathing; hence, strongly opposed to; as, abhorrent thoughts."
"Abide","v. t.","To bear patiently; to tolerate; to put up with."
"Abnormal","a.","Not conformed to rule or system; deviating from the type; anomalous; irregular."
"Abridge","v. t.","To deprive; to cut off; -- followed by of, and formerly by from; as, to abridge one of his rights."
"Abridger","n.","One who abridges."
"Abroad","adv.","Before the public at large; throughout society or the world; here and there; widely."
"Abrupt","v. t.","To tear off or asunder."
"Abruption","n.","A sudden breaking off; a violent separation of bodies."
"Abruptly","adv.","In an abrupt manner; without giving notice, or without the usual forms; suddenly."
"Abruptly","adv.","Precipitously."
"Abscond","v. t.","To hide; to conceal."
"Abscondence","n.","Fugitive concealment; secret retirement; hiding."
"Absconder","n.","One who absconds."
"Absence","n.","Want; destitution; withdrawal."
"Absent","a.","Inattentive to what is passing; absent-minded; preoccupied; as, an absent air."
"Abstract","a.","A powdered solid extract of a vegetable substance mixed with sugar of milk in such proportion that one part of the abstract represents two parts of the original substance."
"Absurd","n.","An absurdity."
"Abundance","n.","An overflowing fullness; ample sufficiency; great plenty; profusion; copious supply; superfluity; wealth: -- strictly applicable to quantity only, but sometimes used of number."
"Abundant","a.","Fully sufficient; plentiful; in copious supply; -- followed by in, rarely by with."
"Abuse","v. t.","Violation; rape; as, abuse of a female child."
"Abusion","v. t.","Evil or corrupt usage; abuse; wrong; reproach; deception; cheat."
"Abusive","a.","Wrongly used; perverted; misapplied."
"Abysmal","a.","Pertaining to, or resembling, an abyss; bottomless; unending; profound."
"Abysmally","adv.","To a fathomless depth; profoundly."
"Abyss","n.","A bottomless or unfathomed depth, gulf, or chasm; hence, any deep, immeasurable, and, specifically, hell, or the bottomless pit."
"Academic","a.","Alt. of Academical"
"Accede","v. i.","To approach; to come forward; -- opposed to recede."
